Exxon Mobil,https://markets.businessinsider.com/stocks/xom-stock,oil/gas,0.00000,209.00000,834.57812
Royal Dutch Shell,https://markets.businessinsider.com/stocks/shell-stock,oil/gas,0.00000,198.00000,3.27637
ConocoPhillips,https://markets.businessinsider.com/stocks/cop-stock,oil/gas,0.00000,240.00000,0.57031
United Airlines,https://markets.businessinsider.com/stocks/ual-stock,airline,0.00000,67.00000,6.93994
American Airlines,https://markets.businessinsider.com/stocks/aal-stock,airline,0.00000,565.00000,0.52441
Apple,https://markets.businessinsider.com/stocks/aapl-stock,tech,0.00000,25.00000,517.49561
Cloudfare,https://markets.businessinsider.com/stocks/net-stock,security,0.00000,113.00000,7.72949
NortonLifeLock,https://markets.businessinsider.com/stocks/nlok-stock,security,0.00000,255.00000,19.86523
H&R Block,https://markets.businessinsider.com/stocks/hrb-stock,finance,0.00000,172.00000,13.50024
Royal Carribbean,https://markets.businessinsider.com/stocks/rcl-stock,tourism,0.00000,92.00000,41.87988
Disney,https://markets.businessinsider.com/stocks/dis-stock,Entertainment,0.00000,80.99900,17.18555
Intel,https://markets.businessinsider.com/stocks/intc-stock,tech,0.00000,134.00000,42.21045
Spotify,https://markets.businessinsider.com/stocks/spot-stock,entertainment,0.00000,23.00000,43.23047
Visa,https://markets.businessinsider.com/stocks/v-stock,banking,0.00000,60.00000,186.00000
Mastercard,https://markets.businessinsider.com/stocks/ma-stock,banking,0.00000,23.00000,8.23047
